BVDGPCVOMCRZVZLWDZCXAACNKWAOHDVSPRZOUZMIZFBBZGNCVRWPDGAWWPARZGHXPFFFTWTCWFVDDZCSCWFSCVPCZGINMCXOZFKK,1
OWPXRJLXJMHLJJIAPBAXSXULXORITJJSXUPYLMLWALXORBLXUMAOYLXFLWKLXOEAMMPTJPYJIABSWJTCALBPJJAOIHOCLXUALFAR,2
CMAFSAIUWJXNNYTKRGCUUULKYDONNSCRFGSINFUBCXHTVPHYRMHMOGHCWRBMENZMADAFVVFJLKTVLQMQQHCFUVKRODALLUKGINLD,0
MSPXOPMMLCRNHITFFHBLHRJPFCSXUISNESYAHLFALTYTMBSXKBALWIRIAOCAESJPTJLRMSUIJMHCTXJHPXAESJILYPCWAOFMTRIL,2
VDXWZVFACWTVIVFUSHRZNCHIHWDTSVBYSLPCZGSVFLMCRWDFRZZMSCVZHUWXRZGUTBTOBNFGZGOTRZFDDQWADHRZQUOTHUGGPWMC,1
PYBCPVAWJUTJAXFACUJNEPCKRHPTBCPQSOASXLWWPCOLXWAESJIBLCLUCLBIYLYTMMCAYTXOPYLXHNPXAHBLSOYPCLEPCKPCLCAB,2
LSNAOYTOUAJILJRJLJTJASRPFRPMAJADTSJAMAJNAJAMMHPTNHYCSAXORJIAEIPMADTARJSPXOABAXORPXLXLXWSAXJNLXPCSLMC,2
JICPLJRJPXUTARPYYMLNAFTCRJSXULXOMSWKSXUPTJESXWIARJACCPLOEISWICTXRPTJYCPNJIAIALCJPYJIAWSJHJPRJCSXUJIA,2
QNJWSFNPWEYNBCBBNKEPBJXNLJTSZKEAUVTJDTOBESRWUXYKWZDNUNIAICCVAIYGELLOGGTNGJXCVAJKKIRQBWHKSZTLCTDVLAWQ,0
SLMEWXCZZDVMWPCCDHVVVZWXDGNIYWFAMZPCZGDITBWVXIWPCBZGCIHUZOFFLFOYGGSLISKIFSCXGHWYHGGMNWZRHWICRZSVPFEF,1
WNOOCPIAKORQFFSFZCCTTDHOUSZFPOXGWITVXMEJNPIFVAUOLGARWTSSRCXADDQTGINJQVFCAUAOUCXTRSDRBZGPQTGETXKKKNDY,0
USJLXOMSQSXUSJJIAXSUIJESJINALIALQHJICAAHALCPMOSXIACLCNRJILJRIAUPJTRJPJIAFPCOACOCLUUSXULBLWKPYMSXAXRE,2
QWKATFYKSKOASCIIHOFKRJBZAGPLWATFYWKOOZFFQMHTVJLERCOXLMWPDGXVGOQABKBPEAKGMJLKANHSDCSQNWJTKEGLAEDVKQXW,0
CALJTCARWLNAPTJPYJIASCOAXRLXOELJWIAOJIANESJIEPXOACSXUAHARRPAXUCPRRAOELRJIAFTJWIACIAIAAOAOJIANXPJLRIA,2
YBWGSMMQEKVQVJUPQFFOAUVZVNHJYONRVWLCRMIBWFUNRMRRYZAGPQWRYUICDYXAGJPLHVYNUUWZVETYWBDFYESNEZUXEQBJVLXQ,0
XFUPEQNWJZNYNVRPQVRRGTILLBEXOICFUATPDZBQAJPKKNWJSOUBZRLZERYQFVMOHOPUHQILHHVAWSOFPOTPUVKXBUCQXPQGIAHH,0
SXJRPEAUPJLUCLXOQSAEMPPKRJLXOPXJSBJPAVSNNSAMSKANAJIACAFAJEAAXJILJELJACJLXKPXJILJFMLWKCPPYPQACJIACALX,2
RUFXZDUNHUZGDYVRVOFFAWOVMEEFXCNWZRFSCVSOGGZFMCUNDFCUVZQFVLMCRZNGBYUSPWTBNGYFVZFDFTZFBTFDGMRFIVUFNCZV,1
OLMSJJMALYJACLYAEOLHRBCLWJSWAJIAHWPTMOUPTBLXOOPEXLRULSMHLRFTWKAJRSXLEAMMLXOIPELCOAXJMHJIAHUCAEJPMPQA,2
RVZGOLIOZGCIHULOZGCOLFNYCWRZVZMGPRCNHZZVADHDDGNCHDIXZFBOUVZVHHHDNCEIXVSNRZVPGMMFINRZDYCEGGPVXINCZUHD,1
FGFFXOAOFDSLMDQFAANYCWFSZVRLUZZGHOZFTFBBZGPVXABSYXUVOSINCWRZHSIEZRZGTVTBNCHWADZGNVXMDTWRFTGDSDZVNCXH,1
ZOTFXWFBXFRZHDWYMQNUMGVMVRWVHXNUABWXZFCVCWFSRZHDZGOTZVMCZGTCLVVOMCZGCOGGXYWPREHDXFPCOXASHDOZIVTLMCIH,1
LYDSDGNQFGEWRTPSPYRCXHANPKPMAHOJXIVVJLYFCHWCCNUKXYODHFOBETYZIPSFRPJSHAFDDDSCAGPWAKEPYPGROHROBBQARMOU,0
OGUHHGMBAHOBRQTSZCJWHJAOAGEMAAFMLBZZWAZBCUDPUCAUCLLKEWWHHCLTGIOXLREUKGINUOXNLLDJHJEQBMUJEXQDDTROLLAV,0
THDVAQNPWHKUAMVTHCILAVEIPKTYUVTRJEORQGGBCCHTXXKWXNPRHJXGIRYQFXVGQBHJQHFAFQXOVMLGKITNLWBZMFTRIFQDVAZJ,0
LFRAVROTCAVCGXAONIQSNGWPBBLPZDZODPWXQUNUFFUGODFXSLMUHSKUFSCOUWGFZGXIZGVRNCDZTFMCIRCSNKFEWPRUVPFEWXXO,1
